id	name	dow	date	colour
0	0	7	2017-10-01	01665e
1	1	1	2017-10-02	f6e8c3
2	2	2	2017-10-03	dfc27d
3	3	5	2017-10-06	543005
4	4	6	2017-10-07	80cdc1
5	5	7	2017-10-08	01665e
6	6	1	2017-10-09	f6e8c3
7	7	2	2017-10-10	dfc27d
8	8	3	2017-10-11	bf812d
9	9	4	2017-10-12	8c510a
10	10	5	2017-10-13	543005
11	11	6	2017-10-14	80cdc1
12	12	7	2017-10-15	01665e
13	13	1	2017-10-16	f6e8c3
14	14	2	2017-10-17	dfc27d
15	15	3	2017-10-18	bf812d
16	16	4	2017-10-19	8c510a
17	17	5	2017-10-20	543005
18	18	6	2017-10-21	80cdc1
19	19	7	2017-10-22	01665e
20	20	1	2017-10-23	f6e8c3
21	21	2	2017-10-24	dfc27d
22	22	3	2017-10-25	bf812d
23	23	4	2017-10-26	8c510a
24	24	5	2017-10-27	543005
25	25	6	2017-10-28	80cdc1
26	26	7	2017-10-29	01665e
27	27	1	2017-10-30	f6e8c3
28	28	2	2017-10-31	dfc27d
29	29	3	2017-11-01	bf812d
30	30	4	2017-11-02	8c510a
31	31	5	2017-11-03	543005
32	32	6	2017-11-04	80cdc1
33	33	7	2017-11-05	01665e
34	34	1	2017-11-06	f6e8c3
35	35	2	2017-11-07	dfc27d
36	36	3	2017-11-08	bf812d
37	37	4	2017-11-09	8c510a
38	38	5	2017-11-10	543005
39	39	6	2017-11-11	80cdc1
40	40	7	2017-11-12	01665e
41	41	1	2017-11-13	f6e8c3
42	42	2	2017-11-14	dfc27d
43	43	3	2017-11-15	bf812d
44	44	4	2017-11-16	8c510a
45	45	5	2017-11-17	543005
46	46	6	2017-11-18	80cdc1
47	47	7	2017-11-19	01665e
48	48	1	2017-11-20	f6e8c3
49	49	2	2017-11-21	dfc27d
50	50	3	2017-11-22	bf812d
51	51	4	2017-11-23	8c510a
52	52	5	2017-11-24	543005
53	53	6	2017-11-25	80cdc1
54	54	7	2017-11-26	01665e
55	55	1	2017-11-27	f6e8c3
56	56	2	2017-11-28	dfc27d
57	57	3	2017-11-29	bf812d
58	58	4	2017-11-30	8c510a
59	59	5	2017-12-01	543005
60	60	6	2017-12-02	80cdc1
61	61	7	2017-12-03	01665e
62	62	1	2017-12-04	f6e8c3
63	63	2	2017-12-05	dfc27d
64	64	3	2017-12-06	bf812d
65	65	4	2017-12-07	8c510a
66	66	5	2017-12-08	543005
67	67	6	2017-12-09	80cdc1
68	68	7	2017-12-10	01665e
69	69	1	2017-12-11	f6e8c3
70	70	2	2017-12-12	dfc27d
71	71	3	2017-12-13	bf812d
72	72	4	2017-12-14	8c510a
73	73	5	2017-12-15	543005
74	74	6	2017-12-16	80cdc1
75	75	7	2017-12-17	01665e
76	76	1	2017-12-18	f6e8c3
77	77	2	2017-12-19	dfc27d
78	78	3	2017-12-20	bf812d
79	79	4	2017-12-21	8c510a
80	80	5	2017-12-22	543005
81	81	6	2017-12-23	80cdc1
82	82	7	2017-12-24	01665e
83	83	1	2017-12-25	f6e8c3
84	84	2	2017-12-26	dfc27d
85	85	3	2017-12-27	bf812d
86	86	4	2017-12-28	8c510a
87	87	5	2017-12-29	543005
88	88	6	2017-12-30	80cdc1
89	89	7	2017-12-31	01665e
90	90	1	2018-01-01	f6e8c3
91	91	2	2018-01-02	dfc27d
92	92	3	2018-01-03	bf812d
93	93	4	2018-01-04	8c510a
94	94	5	2018-01-05	543005
95	95	6	2018-01-06	80cdc1
96	96	7	2018-01-07	01665e
97	97	1	2018-01-08	f6e8c3
98	98	2	2018-01-09	dfc27d
99	99	3	2018-01-10	bf812d
100	100	4	2018-01-11	8c510a
101	101	5	2018-01-12	543005
102	102	6	2018-01-13	80cdc1
103	103	7	2018-01-14	01665e
104	104	1	2018-01-15	f6e8c3
105	105	2	2018-01-16	dfc27d
106	106	3	2018-01-17	bf812d
107	107	4	2018-01-18	8c510a
108	108	5	2018-01-19	543005
109	109	6	2018-01-20	80cdc1
110	110	7	2018-01-21	01665e
111	111	1	2018-01-22	f6e8c3
112	112	2	2018-01-23	dfc27d
113	113	3	2018-01-24	bf812d
114	114	4	2018-01-25	8c510a
115	115	5	2018-01-26	543005
116	116	6	2018-01-27	80cdc1
117	117	7	2018-01-28	01665e
118	118	1	2018-01-29	f6e8c3
119	119	2	2018-01-30	dfc27d
120	120	3	2018-01-31	bf812d
121	121	4	2018-02-01	8c510a
122	122	5	2018-02-02	543005
123	123	6	2018-02-03	80cdc1
124	124	7	2018-02-04	01665e
125	125	1	2018-02-05	f6e8c3
126	126	2	2018-02-06	dfc27d
127	127	3	2018-02-07	bf812d
128	128	4	2018-02-08	8c510a
129	129	5	2018-02-09	543005
130	130	6	2018-02-10	80cdc1
131	131	7	2018-02-11	01665e
132	132	1	2018-02-12	f6e8c3
133	133	2	2018-02-13	dfc27d
134	134	3	2018-02-14	bf812d
135	135	4	2018-02-15	8c510a
136	136	5	2018-02-16	543005
137	137	6	2018-02-17	80cdc1
138	138	7	2018-02-18	01665e
139	139	1	2018-02-19	f6e8c3
140	140	2	2018-02-20	dfc27d
141	141	3	2018-02-21	bf812d
142	142	4	2018-02-22	8c510a
143	143	5	2018-02-23	543005
144	144	6	2018-02-24	80cdc1
145	145	7	2018-02-25	01665e
146	146	1	2018-02-26	f6e8c3
147	147	2	2018-02-27	dfc27d
148	148	3	2018-02-28	bf812d
149	149	4	2018-03-01	8c510a
150	150	5	2018-03-02	543005
151	151	6	2018-03-03	80cdc1
152	152	7	2018-03-04	01665e
153	153	1	2018-03-05	f6e8c3
154	154	2	2018-03-06	dfc27d
155	155	3	2018-03-07	bf812d
156	156	4	2018-03-08	8c510a
157	157	5	2018-03-09	543005
158	158	6	2018-03-10	80cdc1
159	159	7	2018-03-11	01665e
160	160	1	2018-03-12	f6e8c3
161	161	2	2018-03-13	dfc27d
162	162	3	2018-03-14	bf812d
163	163	4	2018-03-15	8c510a
164	164	5	2018-03-16	543005
165	165	6	2018-03-17	80cdc1
166	166	7	2018-03-18	01665e
167	167	1	2018-03-19	f6e8c3
168	168	2	2018-03-20	dfc27d
169	169	3	2018-03-21	bf812d
170	170	4	2018-03-22	8c510a
171	171	5	2018-03-23	543005
172	172	6	2018-03-24	80cdc1
173	173	7	2018-03-25	01665e
174	174	1	2018-03-26	f6e8c3
175	175	2	2018-03-27	dfc27d
176	176	3	2018-03-28	bf812d
177	177	4	2018-03-29	8c510a
178	178	5	2018-03-30	543005
179	179	6	2018-03-31	80cdc1
180	180	7	2018-04-01	01665e
181	181	1	2018-04-02	f6e8c3
182	182	2	2018-04-03	dfc27d
183	183	3	2018-04-04	bf812d
184	184	4	2018-04-05	8c510a
185	185	5	2018-04-06	543005
186	186	6	2018-04-07	80cdc1
187	187	7	2018-04-08	01665e
188	188	1	2018-04-09	f6e8c3
189	189	2	2018-04-10	dfc27d
190	190	3	2018-04-11	bf812d
191	191	4	2018-04-12	8c510a
192	192	5	2018-04-13	543005
193	193	6	2018-04-14	80cdc1
194	194	7	2018-04-15	01665e
195	195	1	2018-04-16	f6e8c3
196	196	2	2018-04-17	dfc27d
197	197	3	2018-04-18	bf812d
198	198	4	2018-04-19	8c510a
199	199	5	2018-04-20	543005
200	200	6	2018-04-21	80cdc1
201	201	7	2018-04-22	01665e
202	202	1	2018-04-23	f6e8c3
203	203	2	2018-04-24	dfc27d
204	204	3	2018-04-25	bf812d
205	205	4	2018-04-26	8c510a
206	206	6	2018-04-28	80cdc1
207	207	7	2018-04-29	01665e
208	208	1	2018-04-30	f6e8c3
209	209	2	2018-05-01	dfc27d
210	210	3	2018-05-02	bf812d
211	211	4	2018-05-03	8c510a
212	212	5	2018-05-04	543005
213	213	6	2018-05-05	80cdc1
214	214	1	2018-05-07	f6e8c3
215	215	2	2018-05-08	dfc27d
216	216	3	2018-05-09	bf812d
217	217	4	2018-05-10	8c510a
218	218	5	2018-05-11	543005
219	219	6	2018-05-12	80cdc1
220	220	7	2018-05-13	01665e
221	221	1	2018-05-14	f6e8c3
222	222	2	2018-05-15	dfc27d
223	223	3	2018-05-16	bf812d
224	224	4	2018-05-17	8c510a
225	225	5	2018-05-18	543005
226	226	6	2018-05-19	80cdc1
227	227	7	2018-05-20	01665e
228	228	1	2018-05-21	f6e8c3
229	229	2	2018-05-22	dfc27d
230	230	3	2018-05-23	bf812d
231	231	4	2018-05-24	8c510a
232	232	5	2018-05-25	543005
233	233	6	2018-05-26	80cdc1
234	234	7	2018-05-27	01665e
235	235	5	2018-06-01	543005
236	236	6	2018-06-02	80cdc1
237	237	7	2018-06-03	01665e
238	238	1	2018-06-04	f6e8c3
239	239	2	2018-06-05	dfc27d
240	240	3	2018-06-06	bf812d
241	241	4	2018-06-07	8c510a
242	242	5	2018-06-08	543005
243	243	6	2018-06-09	80cdc1
244	244	7	2018-06-10	01665e
245	245	1	2018-06-11	f6e8c3
246	246	4	2018-06-14	8c510a
247	247	5	2018-06-15	543005
248	248	6	2018-06-16	80cdc1
249	249	7	2018-06-17	01665e
250	250	1	2018-06-18	f6e8c3
251	251	4	2018-06-21	8c510a
252	252	5	2018-06-22	543005
253	253	6	2018-06-23	80cdc1
254	254	7	2018-06-24	01665e
255	255	1	2018-06-25	f6e8c3
256	256	2	2018-06-26	dfc27d
257	257	3	2018-06-27	bf812d
258	258	4	2018-06-28	8c510a
259	259	5	2018-06-29	543005
260	260	6	2018-06-30	80cdc1
261	261	7	2018-07-01	01665e
262	262	1	2018-07-02	f6e8c3
263	263	2	2018-07-03	dfc27d
264	264	3	2018-07-04	bf812d
265	265	4	2018-07-05	8c510a
266	266	5	2018-07-06	543005
267	267	7	2018-07-08	01665e
268	268	1	2018-07-09	f6e8c3
269	269	2	2018-07-10	dfc27d
270	270	3	2018-07-11	bf812d
271	271	4	2018-07-12	8c510a
272	272	5	2018-07-13	543005
273	273	6	2018-07-14	80cdc1
274	274	7	2018-07-15	01665e
275	275	1	2018-07-16	f6e8c3
276	276	2	2018-07-17	dfc27d
277	277	3	2018-07-18	bf812d
278	278	4	2018-07-19	8c510a
279	279	5	2018-07-20	543005
280	280	6	2018-07-21	80cdc1
281	281	7	2018-07-22	01665e
282	282	1	2018-07-23	f6e8c3
283	283	2	2018-07-24	dfc27d
284	284	3	2018-07-25	bf812d
285	285	4	2018-07-26	8c510a
286	286	5	2018-07-27	543005
287	287	6	2018-07-28	80cdc1
288	288	7	2018-07-29	01665e
289	289	1	2018-07-30	f6e8c3
290	290	2	2018-07-31	dfc27d
291	291	3	2018-08-01	bf812d
292	292	4	2018-08-02	8c510a
293	293	5	2018-08-03	543005
294	294	7	2018-08-05	01665e
295	295	1	2018-08-06	f6e8c3
296	296	2	2018-08-07	dfc27d
297	297	3	2018-08-08	bf812d
298	298	4	2018-08-09	8c510a
299	299	5	2018-08-10	543005
300	300	6	2018-08-11	80cdc1
301	301	7	2018-08-12	01665e
302	302	1	2018-08-13	f6e8c3
303	303	2	2018-08-14	dfc27d
304	304	3	2018-08-15	bf812d
305	305	4	2018-08-16	8c510a
306	306	5	2018-08-17	543005
307	307	6	2018-08-18	80cdc1
308	308	7	2018-08-19	01665e
309	309	1	2018-08-20	f6e8c3
310	310	2	2018-08-21	dfc27d
311	311	3	2018-08-22	bf812d
312	312	4	2018-08-23	8c510a
313	313	5	2018-08-24	543005
314	314	6	2018-08-25	80cdc1
315	315	7	2018-08-26	01665e
316	316	1	2018-08-27	f6e8c3
317	317	2	2018-08-28	dfc27d
318	318	3	2018-08-29	bf812d
319	319	4	2018-08-30	8c510a
320	320	5	2018-08-31	543005
321	321	6	2018-09-01	80cdc1
322	322	7	2018-09-02	01665e
323	323	1	2018-09-03	f6e8c3
324	324	2	2018-09-04	dfc27d
325	325	3	2018-09-05	bf812d
326	326	4	2018-09-06	8c510a
327	327	5	2018-09-07	543005
328	328	6	2018-09-08	80cdc1
329	329	7	2018-09-09	01665e
330	330	1	2018-09-10	f6e8c3
331	331	2	2018-09-11	dfc27d
332	332	3	2018-09-12	bf812d
333	333	4	2018-09-13	8c510a
334	334	5	2018-09-14	543005
335	335	6	2018-09-15	80cdc1
336	336	7	2018-09-16	01665e
337	337	1	2018-09-17	f6e8c3
338	338	2	2018-09-18	dfc27d
339	339	3	2018-09-19	bf812d
340	340	4	2018-09-20	8c510a
341	341	5	2018-09-21	543005
342	342	6	2018-09-22	80cdc1
343	343	7	2018-09-23	01665e
344	344	1	2018-09-24	f6e8c3
345	345	2	2018-09-25	dfc27d
346	346	3	2018-09-26	bf812d
347	347	4	2018-09-27	8c510a
348	348	5	2018-09-28	543005
349	349	6	2018-09-29	80cdc1
350	350	7	2018-09-30	01665e
351	351	1	2018-10-01	f6e8c3
352	352	2	2018-10-02	dfc27d
353	353	3	2018-10-03	bf812d
354	354	4	2018-10-04	8c510a
355	355	5	2018-10-05	543005
356	356	6	2018-10-06	80cdc1
357	357	7	2018-10-07	01665e
358	358	1	2018-10-08	f6e8c3
359	359	2	2018-10-09	dfc27d
360	360	3	2018-10-10	bf812d
361	361	4	2018-10-11	8c510a
362	362	5	2018-10-12	543005
363	363	6	2018-10-13	80cdc1
364	364	7	2018-10-14	01665e
365	365	1	2018-10-15	f6e8c3
366	366	2	2018-10-16	dfc27d
367	367	3	2018-10-17	bf812d
368	368	4	2018-10-18	8c510a
369	369	5	2018-10-19	543005
370	370	6	2018-10-20	80cdc1
371	371	7	2018-10-21	01665e
372	372	1	2018-10-22	f6e8c3
373	373	2	2018-10-23	dfc27d
