"id","date_day","day","colour"
"1",2017-10-01,7,"#01665e"
"2",2017-10-02,1,"#f6e8c3"
"3",2017-10-03,2,"#dfc27d"
"4",2017-10-06,5,"#543005"
"5",2017-10-07,6,"#80cdc1"
"6",2017-10-08,7,"#01665e"
"7",2017-10-09,1,"#f6e8c3"
"8",2017-10-10,2,"#dfc27d"
"9",2017-10-11,3,"#bf812d"
"10",2017-10-12,4,"#8c510a"
"11",2017-10-13,5,"#543005"
"12",2017-10-14,6,"#80cdc1"
"13",2017-10-15,7,"#01665e"
"14",2017-10-16,1,"#f6e8c3"
"15",2017-10-17,2,"#dfc27d"
"16",2017-10-18,3,"#bf812d"
"17",2017-10-19,4,"#8c510a"
"18",2017-10-20,5,"#543005"
"19",2017-10-21,6,"#80cdc1"
"20",2017-10-22,7,"#01665e"
"21",2017-10-23,1,"#f6e8c3"
"22",2017-10-24,2,"#dfc27d"
"23",2017-10-25,3,"#bf812d"
"24",2017-10-26,4,"#8c510a"
"25",2017-10-27,5,"#543005"
"26",2017-10-28,6,"#80cdc1"
"27",2017-10-29,7,"#01665e"
"28",2017-10-30,1,"#f6e8c3"
"29",2017-10-31,2,"#dfc27d"
"30",2017-11-01,3,"#bf812d"
"31",2017-11-02,4,"#8c510a"
"32",2017-11-03,5,"#543005"
"33",2017-11-04,6,"#80cdc1"
"34",2017-11-05,7,"#01665e"
"35",2017-11-06,1,"#f6e8c3"
"36",2017-11-07,2,"#dfc27d"
"37",2017-11-08,3,"#bf812d"
"38",2017-11-09,4,"#8c510a"
"39",2017-11-10,5,"#543005"
"40",2017-11-11,6,"#80cdc1"
"41",2017-11-12,7,"#01665e"
"42",2017-11-13,1,"#f6e8c3"
"43",2017-11-14,2,"#dfc27d"
"44",2017-11-15,3,"#bf812d"
"45",2017-11-16,4,"#8c510a"
"46",2017-11-17,5,"#543005"
"47",2017-11-18,6,"#80cdc1"
"48",2017-11-19,7,"#01665e"
"49",2017-11-20,1,"#f6e8c3"
"50",2017-11-21,2,"#dfc27d"
"51",2017-11-22,3,"#bf812d"
"52",2017-11-23,4,"#8c510a"
"53",2017-11-24,5,"#543005"
"54",2017-11-25,6,"#80cdc1"
"55",2017-11-26,7,"#01665e"
"56",2017-11-27,1,"#f6e8c3"
"57",2017-11-28,2,"#dfc27d"
"58",2017-11-29,3,"#bf812d"
"59",2017-11-30,4,"#8c510a"
"60",2017-12-01,5,"#543005"
"61",2017-12-02,6,"#80cdc1"
"62",2017-12-03,7,"#01665e"
"63",2017-12-04,1,"#f6e8c3"
"64",2017-12-05,2,"#dfc27d"
"65",2017-12-06,3,"#bf812d"
"66",2017-12-07,4,"#8c510a"
"67",2017-12-08,5,"#543005"
"68",2017-12-09,6,"#80cdc1"
"69",2017-12-10,7,"#01665e"
"70",2017-12-11,1,"#f6e8c3"
"71",2017-12-12,2,"#dfc27d"
"72",2017-12-13,3,"#bf812d"
"73",2017-12-14,4,"#8c510a"
"74",2017-12-15,5,"#543005"
"75",2017-12-16,6,"#80cdc1"
"76",2017-12-17,7,"#01665e"
"77",2017-12-18,1,"#f6e8c3"
"78",2017-12-19,2,"#dfc27d"
"79",2017-12-20,3,"#bf812d"
"80",2017-12-21,4,"#8c510a"
"81",2017-12-22,5,"#543005"
"82",2017-12-23,6,"#80cdc1"
"83",2017-12-24,7,"#01665e"
"84",2017-12-25,1,"#f6e8c3"
"85",2017-12-26,2,"#dfc27d"
"86",2017-12-27,3,"#bf812d"
"87",2017-12-28,4,"#8c510a"
"88",2017-12-29,5,"#543005"
"89",2017-12-30,6,"#80cdc1"
"90",2017-12-31,7,"#01665e"
"91",2018-01-01,1,"#f6e8c3"
"92",2018-01-02,2,"#dfc27d"
"93",2018-01-03,3,"#bf812d"
"94",2018-01-04,4,"#8c510a"
"95",2018-01-05,5,"#543005"
"96",2018-01-06,6,"#80cdc1"
"97",2018-01-07,7,"#01665e"
"98",2018-01-08,1,"#f6e8c3"
"99",2018-01-09,2,"#dfc27d"
"100",2018-01-10,3,"#bf812d"
"101",2018-01-11,4,"#8c510a"
"102",2018-01-12,5,"#543005"
"103",2018-01-13,6,"#80cdc1"
"104",2018-01-14,7,"#01665e"
"105",2018-01-15,1,"#f6e8c3"
"106",2018-01-16,2,"#dfc27d"
"107",2018-01-17,3,"#bf812d"
"108",2018-01-18,4,"#8c510a"
"109",2018-01-19,5,"#543005"
"110",2018-01-20,6,"#80cdc1"
"111",2018-01-21,7,"#01665e"
